sample_id,class,mask_coverage,input_full_RMSE,input_full_MAE,input_full_REL,input_full_δ1.05,input_full_δ1.10,input_full_δ1.25,input_full_n_valid,pred_full_RMSE,pred_full_MAE,pred_full_REL,pred_full_δ1.05,pred_full_δ1.10,pred_full_δ1.25,pred_full_n_valid,input_mask_RMSE,input_mask_MAE,input_mask_REL,input_mask_δ1.05,input_mask_δ1.10,input_mask_δ1.25,input_mask_n_valid,pred_mask_RMSE,pred_mask_MAE,pred_mask_REL,pred_mask_δ1.05,pred_mask_δ1.10,pred_mask_δ1.25,pred_mask_n_valid
000003041,square-plastic-bottle-train,0.0390625,0.3774626,0.074587494,0.1269312,0.9609375,0.9609375,0.9609375,16384,0.048508152,0.04769876,0.063875616,0.04705810546875,0.95928955078125,0.99981689453125,16384,1.9098265,1.9094398,3.2494392,0.0,0.0,0.0,640,0.086217575,0.08387667,0.14292684,0.0109375,0.0640625,0.9953125,640
000001413,heart-bath-bomb-train,0.057373047,0.5085328,0.12179713,0.32483608,0.942626953125,0.942626953125,0.942626953125,16384,0.07061254,0.06932327,0.16382319,0.0001220703125,0.0078125,0.821044921875,16384,2.1230736,2.122898,5.661824,0.0,0.0,0.0,940,0.12110861,0.11987847,0.31959543,0.0,0.0,0.07021276595744681,940
000001669,square-plastic-bottle-train,0.11651611,0.72559875,0.24763879,0.66823107,0.88348388671875,0.88348388671875,0.88348388671875,16384,0.034527842,0.030058416,0.05677666,0.60772705078125,0.9161376953125,0.98590087890625,16384,2.1257076,2.125361,5.7350965,0.0,0.0,0.0,1909,0.06883668,0.057354502,0.1576815,0.16710319539025667,0.3363017286537454,0.8837087480356207,1909
000000684,square-plastic-bottle-train,0.02709961,0.24768518,0.040758908,0.041030742,0.972900390625,0.972900390625,0.972900390625,16384,0.050691556,0.050422065,0.043156967,0.60882568359375,0.99798583984375,1.0,16384,1.5045912,1.5040404,1.5140713,0.0,0.0,0.0,444,0.06621349,0.06267711,0.06344332,0.21621621621621623,0.9572072072072072,1.0,444
000006006,stemless-plastic-champagne-glass-train,0.069885254,0.4829428,0.1275768,0.19194238,0.93011474609375,0.93011474609375,0.93011474609375,16384,0.05564006,0.055242278,0.07230229,0.069091796875,0.8768310546875,0.99993896484375,16384,1.8268502,1.8255181,2.746536,0.0,0.0,0.0,1145,0.06316768,0.061598305,0.09163902,0.025327510917030567,0.6820960698689956,1.0,1145
000000748,flower-bath-bomb-train,0.09265137,0.6713848,0.204352,0.6978184,0.9073486328125,0.9073486328125,0.9073486328125,16384,0.06531074,0.06509331,0.16369024,0.0003662109375,0.00732421875,0.85009765625,16384,2.2056956,2.2056017,7.5316577,0.0,0.0,0.0,1518,0.070781186,0.069523856,0.23601085,0.0,0.001976284584980237,0.6996047430830039,1518
000002847,cup-with-waves-train,0.18103027,0.9565388,0.40692842,1.6519914,0.8189697265625,0.8189697265625,0.8189697265625,16384,0.06015789,0.05862795,0.20048812,0.02056884765625,0.04693603515625,0.49493408203125,16384,2.2481587,2.2478473,9.125498,0.0,0.0,0.0,2966,0.041612975,0.03725011,0.15391916,0.11260957518543493,0.25758597437626435,0.8577208361429535,2966
000008251,square-plastic-bottle-train,0.061340332,0.4239711,0.104934484,0.13417834,0.93865966796875,0.93865966796875,0.93865966796875,16384,0.028699089,0.020384211,0.022176642,0.93658447265625,0.9461669921875,1.0,16384,1.71184,1.7106931,2.1874406,0.0,0.0,0.0,1005,0.097331166,0.095506944,0.12171456,0.013930348258706468,0.1263681592039801,1.0,1005
000001583,stemless-plastic-champagne-glass-train,0.02368164,0.25688368,0.03951907,0.04772034,0.976318359375,0.976318359375,0.976318359375,16384,0.01611749,0.015484373,0.01577054,0.997314453125,0.9998779296875,1.0,16384,1.6692854,1.6687641,2.0150774,0.0,0.0,0.0,388,0.027720053,0.023377297,0.027653133,0.9149484536082474,1.0,1.0,388
000003255,heart-bath-bomb-train,0.029418945,0.34249046,0.058742434,0.116831005,0.9705810546875,0.9705810546875,0.9705810546875,16384,0.06624979,0.0661658,0.11944209,6.103515625e-05,0.10321044921875,0.99835205078125,16384,1.9968016,1.9967552,3.9712849,0.0,0.0,0.0,482,0.06070147,0.059893407,0.119395845,0.002074688796680498,0.1950207468879668,1.0,482
000002950,square-plastic-bottle-train,0.054016113,0.40164608,0.09325573,0.12225009,0.94598388671875,0.94598388671875,0.94598388671875,16384,0.067990296,0.06633095,0.080619186,0.2100830078125,0.61114501953125,0.998779296875,16384,1.7281518,1.7264428,2.263215,0.0,0.0,0.0,885,0.116315074,0.11228434,0.14717783,0.004519774011299435,0.11751412429378531,0.9830508474576272,885
000000239,heart-bath-bomb-train,0.064941406,0.56891614,0.14497806,0.5431305,0.93505859375,0.93505859375,0.93505859375,16384,0.07450511,0.07400426,0.21633944,0.0003662109375,0.0020751953125,0.35577392578125,16384,2.232479,2.2324443,8.363393,0.0,0.0,0.0,1064,0.048451208,0.047557607,0.17845945,0.004699248120300752,0.02631578947368421,0.9840225563909775,1064
